"","Total_strokeNo","Total_strokeRate","Descent_strokeNo","Descent_strokeRate","Ascent_strokeNo","Ascent_strokeRate","Total_strokeIntensity","Total_strokeIntensityPerStroke","Descent_strokeIntensity","Descent_strokeIntensityPerStroke","Ascent_strokeIntensity","Ascent_strokeIntensityPerStroke","Total_pitch","Descent_pitch","Ascent_pitch","Total_speed","Descent_speed","Ascent_speed","Total_glide","Descent_glide","Ascent_glide","Total_ODBA","Descent_ODBA","Ascent_ODBA","Bottom_ODBA","DiveNo","Duration","MaxD","Vair","VairRaw","minMSE_w","initial_depth","glide_duration","avg_pitch","avg_speed","r_sq","p","...38","initial_v","min_v","d_min_v","LMintercept_d","LMgradient_d","LMintercept_d_E","LMgradient_d_E","LMintercept_calc","LMgradient_calc","LMintercept_calc_E","LMgradient_calc_E","LMgradient_d_rsq","LMgradient_calc_rsq","total_stroke","Day","Individual","body_density"
"1",751,1.01623816,74,0.304526749,421,1.547794118,47.61283031,0.063399241,3.09963703,0.041886987,30.58538025,0.072649359,6.429100385,-24.57670397,36.46676682,1.94300539,2.96184744,1.726798021,216.2,175.88,0,54.97727835,18.18303649,20.91919265,15.87504921,1,740,299.7269592,0,0,0.142821668,10.23646,18,-59.04514211,2.672885894,0.953179846,4.63e-12,NA,2.0690701,2.0690701,10.23646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1042.316
"2",1267,1.036824877,38,0.345454545,282,1.46875,79.15988888,0.062478207,1.583088363,0.04166022,25.30271269,0.089725932,5.35442462,-49.10121066,48.43706488,1.972237744,2.585226462,1.806354298,277,79.72,0,31.91464771,5.813580563,3.972830645,22.1282365,2,1223,406.5612183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212351026,-0.006054278,0.022700157,0.002688917,0.060275492,0.184134713,0.055247159,0.098700092,0.717096724,0.635066902,0.326679378,2,1,1042.316
"3",1121,0.91286645,39,0.165254237,438,1.426710098,77.19068605,0.068858774,1.7505446,0.044885759,39.456944,0.090084347,6.88977899,-38.46296994,51.04080078,2.018886035,2.610241118,1.657740127,374.04,200.8,1.72,93.09863363,4.497307386,21.04753803,67.55378821,3,1229,484.7947998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235801442,-0.007579551,0.005237141,0.000484765,0.001038828,0.314545425,0.010729516,0.021714448,0.991885392,0.990558501,0.312928126,2,1,1042.316
"4",1013,0.857021997,14,0.05511811,258,1.5,70.12238153,0.069222489,0.57485017,0.041060726,24.65009175,0.095542991,7.461917695,-35.73026146,49.17609198,1.986335557,2.499772402,1.727649311,429.28,240.28,0,140.6751875,52.38380166,22.10835125,66.18303459,4,1183,520.6243896,28.77697842,0.012,0.100749774,22.017097,18,-59.67547572,1.8616407,0.85635463,3.81e-08,NA,1.7170423,1.6690722,22.017097,0.132434162,-0.002119169,0.016475695,0.001682686,0.071872407,0.077011682,0.032008583,0.059750349,0.345846639,0.356394406,0.252982937,2,1,1042.316
"5",1011,0.883741259,46,0.168498168,294,1.5,75.19601681,0.07437786,1.889418466,0.041074314,28.77467591,0.097873047,7.365739429,-37.66802417,54.29266224,2.110984035,2.597801631,1.846578164,400.48,229.16,0,87.63050261,15.35078509,15.94898782,56.3307297,5,1145,535.0606689,46.28297362,0.0193,0.063247432,27.107943,13,-63.93903215,2.128976838,0.349239202,0.033429286,NA,2.2992578,2.0365708,27.107943,0.17110053,-0.001452527,0.010646053,0.001013587,0.129054954,0.053558278,0.020960036,0.040204753,0.506617313,0.470141354,0.313483864,2,1,1042.316
"6",915,0.920523139,12,0.088235294,249,1.398876404,64.23827107,0.070205761,0.697323889,0.058110324,20.72205211,0.083221093,8.20190629,-46.9477526,39.43339484,2.099346593,2.63931845,1.650839043,356.6,126.8,5.92,121.0753966,21.39749153,17.78164576,81.89625931,6,995,293.7745056,29.73621103,0.0124,0.019443242,25.237085,13,-62.76892446,2.182641254,0.768925305,8.31e-05,NA,2.1376486,2.1376486,25.237085,0.182010575,-0.003867251,0.00181151,0.000190072,0.068418856,0.147216028,0.00256808,0.004801146,0.995191949,0.997877309,0.293736062,2,1,1042.316
"7",902,1.004454343,18,0.09,225,1.551724138,65.95642991,0.073122428,0.875936149,0.048663119,21.45004293,0.095333524,8.671677828,-33.21352951,42.48698876,2.275844876,2.843091787,1.843618479,293.28,180.72,0,55.96565821,18.55097859,2.765318229,34.64936139,7,899,325.0836182,17.5059952,0.0073,0.099128602,15.164731,18,-59.06725383,2.333043989,0.91414043,6.03e-10,NA,2.1839557,2.0874264,15.164731,0.255690559,-0.013847052,0.082117687,0.008021077,-0.135314058,0.498652975,0.17657309,0.346182074,0.598411834,0.509184948,0.24824105,2,1,1042.316
"8",999,0.880176211,37,0.170506912,236,1.493670886,78.18386213,0.078262124,1.373286141,0.037115842,25.54749027,0.108252077,8.225567579,-38.97567517,55.80997822,2.147858212,2.635839006,1.820495383,422.96,185.72,0,153.4973133,21.28873809,40.84596554,91.36260967,8,1136,558.2928467,34.05275779,0.0142,0.059973802,24.594547,13,-62.30956,2.298950554,0.464321987,0.010325891,NA,2.3464787,2.185324,24.594547,0.206137417,-0.006850437,0.005284881,0.000588805,0.018133255,0.236809219,0.002610525,0.004782068,0.985439829,0.999185089,0.294596554,2,1,1042.316
"9",906,0.910552764,47,0.164335664,357,1.532188841,68.1563458,0.075227755,2.444432912,0.052009211,32.28531518,0.090435057,4.649963056,-34.83230731,40.19219697,2.081146837,2.422821563,1.848945989,370.08,244.84,0,88.85660059,22.74190672,45.99004279,20.12465108,9,996,390.5408936,33.09352518,0.0138,0.067003056,15.842736,20,-73.15457235,1.82664839,0.884820574,6.99e-10,NA,1.8333049,1.630409,15.842736,0.227830756,-0.011791601,0.023120525,0.002212063,-0.131856957,0.476309572,0.064244925,0.126523711,0.934243357,0.876330364,0.225176011,2,1,1042.316
"10",864,1.078651685,9,0.08411215,200,1.538461538,61.82787768,0.071560044,0.352864031,0.039207115,18.10460288,0.090523014,8.262424124,-39.98064367,45.64058847,2.279857287,2.425502777,1.852919824,229.56,99.52,0.36,75.20941953,11.54142224,11.62715783,52.04083946,10,802,261.4877625,28.53717026,0.0119,0.023444526,16.847939,19,-64.71229395,2.057333505,0.956892237,4.82e-13,NA,2.0090165,1.9327353,16.847939,0.196091216,-0.008596967,0.0348937,0.003226635,-0.051609169,0.313050936,0.068932659,0.132881511,0.702937908,0.649126958,0.254948168,2,1,1042.316
"11",831,0.968531469,9,0.076271186,266,1.564705882,62.68527744,0.075433547,0.233085718,0.025898413,24.67778248,0.092773618,6.962136093,-44.61483646,37.9044097,2.307305432,2.907088333,1.858924686,306.88,110.2,0,101.586169,41.99343906,21.07112323,38.52160671,11,859,303.651947,2.637889688,0.0011,0.163155566,18.515982,12,-56.54575783,2.455568642,0.747718498,0.000283201,NA,2.1882327,2.1878693,18.515982,0.194064333,-0.012399182,0.071414514,0.007607331,-0.163884832,0.461154286,0.136137656,0.25411532,0.570499441,0.6221636,0.179764668,2,1,1042.316
"12",887,0.873031496,8,0.043243243,485,1.501547988,66.80050106,0.075310599,0.292583615,0.036572952,41.7274145,0.086035906,5.499811785,-39.00779614,34.35498882,2.204293763,2.533323315,1.853608454,405.96,177.96,1.16,85.29150384,10.06526602,36.94725133,38.27898649,12,1017,327.053894,26.13908873,0.0109,0.042394136,19.341341,18,-59.83794222,2.079548244,0.913841128,6.21e-10,NA,1.9822772,1.9197497,19.341341,0.224029246,-0.010598637,0.016816895,0.001830452,-0.06989632,0.373031083,0.035681623,0.066553148,0.943703378,0.940148684,0.261614226,2,1,1042.316
"13",851,0.929039301,16,0.093567251,257,1.494186047,62.91108037,0.073926064,0.530950397,0.0331844,22.65486359,0.08815122,7.022087772,-34.12047939,52.22311013,2.171141197,2.780503328,1.767498889,321.64,156.8,0.2,94.02729226,22.73885132,17.02863608,54.25980486,13,917,370.1546021,0,0,0.11319792,18.068104,13,-54.84427262,2.508680838,0.930322904,1.05e-07,NA,2.099056,2.099056,18.068104,0.057175639,0.002092581,0.064113653,0.005820614,0.105015224,-0.051666847,0.113607632,0.226340318,0.060701647,0.025392179,0.166447268,2,1,1042.316
